dataset_id	geo_sample	sample_prefix	diagnosis	tissue_source	n_genes	n_cells	total_counts	median_counts_per_cell	median_features_per_cell	pct_cells_lt_200_features	pct_cells_lt_500_features
GSE214607	GSM6613031	GSM6613031_NC_D6_rep1	Control	Decidua	36601	10082	108881196	6756.5	2217	1.57706804205515	10.6228922832771
GSE214607	GSM6613032	GSM6613032_NC_D7_rep1	Control	Decidua	36601	10505	106287972	5784	2050	1.38981437410757	8.26273203236554
GSE214607	GSM6613033	GSM6613033_NC_D7_rep2	Control	Decidua	36601	4251	55189306	6219	2214	2.54057868736768	17.0312867560574
GSE214607	GSM6613034	GSM6613034_NC_D8_rep1	Control	Decidua	36601	11394	77370098	4549	1856	0.710900473933649	5.98560645954011
GSE214607	GSM6613035	GSM6613035_NC_D8_rep2	Control	Decidua	36601	5996	62742522	5722.5	2222	1.40093395597065	8.75583722481654
GSE214607	GSM6613036	GSM6613036_NC_V6_rep1	Control	Villi	36601	9250	105261391	8023.5	2283	2.17297297297297	9.67567567567568
GSE214607	GSM6613037	GSM6613037_NC_V7_rep1	Control	Villi	36601	9813	96772332	5597	1737	0.0917150718434729	8.32569041067971
GSE214607	GSM6613038	GSM6613038_NC_V7_rep2	Control	Villi	36601	3648	60378570	5717.5	1686.5	5.26315789473684	21.9024122807018
GSE214607	GSM6613039	GSM6613039_NC_V8_rep1	Control	Villi	36601	9246	112864293	5764.5	1967	3.70971230802509	13.443651308674
GSE214607	GSM6613040	GSM6613040_NC_V8_rep2	Control	Villi	36601	3722	70077504	6219.5	1833	3.0628694250403	18.3772165502418
GSE214607	GSM6613041	GSM6613041_RM_D6_rep1	RM	Decidua	36601	5819	54533206	5295	2071	1.18577075098814	13.3528097611273
GSE214607	GSM6613042	GSM6613042_RM_D7_rep1	RM	Decidua	36601	12417	99292222	5166	1977	0.434887654022711	8.27897237658049
GSE214607	GSM6613043	GSM6613043_RM_D8_rep1	RM	Decidua	36601	12555	132465740	4886	1828	0.50179211469534	11.1350059737157
GSE214607	GSM6613044	GSM6613044_RM_V6_rep1	RM	Villi	36601	7448	75587959	3541	1293	0.537056928034372	14.0037593984962
GSE214607	GSM6613045	GSM6613045_RM_V7_rep1	RM	Villi	36601	14801	103789082	4215	1755	0.358083913249105	7.69542598473076
GSE214607	GSM6613046	GSM6613046_RM_V8_rep1	RM	Villi	36601	8628	106068674	5096	1730.5	2.92072322670376	13.3055169216504
